acousticness,danceability,duration_ms,energy,instrumentalness,keis,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist,Hit
0.00277,0.677,193093,0.52,0,4,0.0532,-6.255,0,0.334,203.862,4,0.768,Peaches & Cream,112,1
0.0373,0.719,166693,0.736,0.0028,6,0.193,-7.517,1,0.052,92.179,4,0.757,Where My Girls At?,702,1
0.0626,0.858,254920,0.717,0.243,0,0.216,-8.734,1,0.0995,120.004,4,0.593,Slyd,!!!,0
0.0986,0.791,170640,0.613,0,1,0.0765,-11.628,0,0.0763,143.017,4,0.896,White & Nerdy,"""weird al"" yankovic",1
0.0198,0.571,199640,0.87,6.60E-06,8,0.0564,-3.877,0,0.0641,172.716,4,0.815,Bye Bye Bye,*NSYNC,0
0.44,0.468,243493,0.535,0,10,0.101,-8.264,1,0.0436,168.001,4,0.298,God Must Have Spent a Little More Time on You - Remix,*NSYNC,0
0.0743,0.754,199787,0.946,0.000391,8,0.401,-2.149,0,0.0403,112.042,4,0.865,I Want You Back - Radio Edit,*NSYNC,0
0.0479,0.647,191280,0.87,0,0,0.0485,-4.702,0,0.0798,165.103,4,0.906,It's Gonna Be Me,*NSYNC,0
0.0412,0.841,175520,0.866,0,11,0.212,-6.342,1,0.118,119.941,4,0.875,Pop - Radio Version,*NSYNC,0
0.00799,0.685,209560,0.872,0,7,0.323,-6.939,1,0.0321,110.046,4,0.806,Tearin' up My Heart - Radio Edit,*NSYNC,0
0.0028,0.686,211000,0.915,7.16E-06,7,0.233,-4.447,1,0.0364,110.054,4,0.784,Tearin' up My Heart - Radio Edit,*NSYNC,0
0.3,0.55,266293,0.563,0,2,0.122,-7.019,1,0.0313,166.004,4,0.462,This I Promise You - Radio Edit,*NSYNC,0
0.000235,0.758,181081,0.489,0,10,0.0488,-8.253,0,0.356,80.057,4,0.609,Hit The Quan,@iheartmemphis,1
0.439,0.892,157001,0.443,0,0,0.0866,-6.181,1,0.0379,107.984,4,0.729,My eyes,10cm,0
0.164,0.844,226600,0.32,0,6,0.107,-9.532,0,0.0475,125.927,4,0.575,Talk,10cm,0
0.0581,0.748,306600,0.586,0,1,0.156,-2.554,1,0.0512,140.067,4,0.162,Birthday Song,2 Chainz,0
0.0415,0.941,207040,0.685,0,10,0.08,-5.24,1,0.0752,97.524,4,0.695,I'm Different,2 Chainz,0
0.426,0.872,188347,0.541,0.000789,5,0.132,-5.911,1,0.103,95.971,4,0.653,Living,2 Chainz,0
0.0217,0.641,239187,0.671,0,2,0.417,-5.95,1,0.178,130.927,4,0.589,No Lie,2 chainz,1
0.00141,0.895,179000,0.883,0.000383,7,0.274,-8.919,1,0.216,131.644,4,0.893,Hoochie Mama,2 LIVE CREW,0
0.0398,0.674,313147,0.501,0.000123,2,0.0818,-12.907,0,0.0579,107.363,4,0.567,Heaven And Hell Is On Earth,20th Century Steel Band,0
0.0151,0.884,220307,0.346,7.04E-06,8,-8.228,0.0871,0,0.351,75.016,4,0.376,Bank Account,21 Savage,1
0.0151,0.884,220307,0.346,7.04E-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376,Bank Account,21 savage,1
0.0151,0.884,220307,0.346,7.04E-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376,Bank Account,21 savage,1
0.0151,0.884,220307,0.346,7.04E-06,8,0.0871,-8.228,0,0.351,75.016,4,0.376,Bank Account,21 Savage,1
0.373,0.835,258880,0.413,0.00133,1,0.101,-9.81,1,0.396,149.004,4,0.111,X,21 savage,1
0.00791,0.45,220934,0.449,0,2,0.173,-12.037,1,0.156,135.45,4,0.137,Milly Rock,2milly,0
0.00151,0.54,241960,0.928,2.58E-06,0,0.135,-4.823,1,0.0671,128.037,4,0.285,It's Not My Time,3 doors down,1
0.00457,0.496,260507,0.765,0,7,0.104,-5.66,1,0.033,74.072,4,0.337,When I'm Gone,3 doors down,1
0.00607,0.494,265907,0.697,7.79E-06,7,0.128,-5.473,1,0.025,95.951,4,0.336,Be Like That,3 doors down,1
0.00624,0.545,233827,0.86,2.18E-05,11,0.165,-5.054,0,0.0306,99.031,4,0.581,Kryptonite,3 doors down,1
0.0537,0.536,238560,0.55,0,10,0.134,-6.733,0,0.0248,144.018,4,0.234,Here Without You,3 doors down,1
0.102,0.721,263440,0.723,4.40E-06,2,0.0651,-7.08,0,0.0631,88.933,4,0.769,No More (Baby I'ma Do Right),3LW,0
0.102,0.721,263440,0.723,4.40E-06,2,0.0651,-7.08,0,0.0631,88.933,4,0.761,No More (Baby I'ma Do Right),3lw,1
0.0163,0.791,192573,0.713,0,5,0.189,-3.742,0,0.254,130.012,4,0.514,Don't Trust Me,3oh!3,1
0.16,0.561,295493,0.555,0,11,0.114,-9.734,0,0.0287,134.369,4,0.509,What's Up?,4 Non Blondes,0
0.000668,0.493,202496,0.956,0,1,0.416,-4.221,0,0.138,160.006,4,0.467,She Looks So Perfect,5 Seconds of Summer,0
0.00216,0.659,216454,0.9,0,4,0.111,-4.856,1,0.0317,118.04,4,0.882,She's Kinda Hot,5 Seconds of Summer,0
0.0184,0.375,180421,0.914,0,9,0.281,-4.658,1,0.0866,174.896,4,0.428,Everything I Didn't Say,5 seconds of summer,1
0.000284,0.472,204620,0.94,0,0,0.0966,-4.769,1,0.0979,150.068,4,0.369,Kiss Me Kiss Me,5 seconds of summer,1
0.00725,0.642,213360,0.832,0.00526,8,0.0352,-4.691,1,0.108,190.097,4,0.358,Baby By Me,50 cent,1
0.0241,0.761,246827,0.537,0,8,0.119,-8.139,0,0.272,92.02,4,0.555,Outta Control (Remix),50 cent,1
0.0245,0.79,218707,0.845,0,1,0.154,-3.41,1,0.167,162.049,4,0.897,Wanksta,50 cent,1
0.0485,0.673,249467,0.785,3.65E-06,10,0.0397,-2.894,0,0.351,84.607,4,0.85,P.I.M.P.,50 cent,1
0.242,0.921,214227,0.666,5.05E-05,3,0.291,-4.856,1,0.251,97.054,4,0.633,Disco Inferno,50 cent,1
0.283,0.865,193467,0.73,0,6,0.0753,-2.813,0,0.373,90.096,4,0.808,In Da Club,50 cent,1
0.0371,0.696,237707,0.708,0.00431,1,0.331,-6.953,1,0.337,96.87,4,0.524,Just A Lil Bit,50 cent,1
0.0248,0.581,208655,0.569,4.94E-05,7,0.373,-7.978,1,0.43,97.927,4,0.726,Candy Shop,50 cent,1
0.388,0.547,224427,0.807,9.11E-05,6,0.0436,-4.083,0,0.36,79.823,3,0.919,21 Questions,50 cent,1
0.164,0.824,181800,0.513,0,8,0.0487,-9.591,1,0.208,99.938,4,0.568,Stomp - Dirty,5kinAndBone5,0
0.0485,0.689,157643,0.761,0,1,0.136,-4.939,1,0.13,78.514,4,0.698,Gummo,6ix9ine,1
0.0485,0.689,157643,0.761,0,1,0.136,-4.939,1,0.13,78.514,4,0.698,Gummo,6ix9ine,1
0.501,0.839,209269,0.81,0,5,0.117,-5.274,0,0.0568,129.014,4,0.814,Drowning,a boogie wit da hoodie,1
4.82E-05,0.409,200677,0.992,2.03E-06,3,0.1,-2.803,0,0.108,149.859,4,0.339,Paranoia,A Day To Remember,0
0.877,0.493,232293,0.162,1.38E-06,2,0.0844,-7.587,1,0.0365,140.459,3,0.147,Say Something,a great big world,1
0.877,0.493,232293,0.162,1.38E-06,2,0.0844,-7.587,1,0.0365,140.459,3,0.147,Say Something,a great big world,1
0.00324,0.746,383107,0.613,0.672,7,0.167,-10.104,1,0.0475,125.317,4,0.627,Voodoo Ray - Danny Tenaglia Remix,A Guy Called Gerald,0
0.145,0.844,265400,0.688,0.00351,4,0.104,-8.594,0,0.291,96.671,4,0.747,Can I Kick It?,A Tribe Called Quest,0
